'bassin';'cycle';'produit';'daterempli';'datevide';'carpes';'datepsemis';'datedp�che';'nbremois';'poidssem�';'poidsp�ch�';'poidsrestant';'poidsp�ch�restant';'Tauxmortalit�';'poidsalimentth�o';'poidsalimentstat';'poidsalimentdonn�pgm';'poidsalimentdonn�';'poidsalimentdonn�tot';'quantsem�e';'quantmort';'quantp�ch�e';'quantrestante';'surface';'RendementHa';'poidsp�ch�mois';'tauxconversion';'quantit�m2';'grammesm2';'poidsalimentha';'recambiogallons';'llenadogallons';'quantsem�ecarpes';'quantp�ch�ecarpes';'tauxalerteO2';'niveaudalerteO2';'moyenneO2';'poidstotalimentselect';'typealimentselect'
'B46';10;'crevette';28/10/2011;12/6/2012;0;1/11/2011;12/6/2012;7,34;265,00;958,00;0,00;958,00;0,46;0,00;0,00;0,00;0,00;3041,00;33745,00;15849,00;17896,00;0,00;4592,00;1119,49;130,44;4,38;0,00;0,00;0,00;1078140,00;1837265,00;45,00;310,00;0,00;1,00;3,82;0,00;
'B04';23;'crevette';25/10/2011;26/3/2012;0;1/11/2011;26/3/2012;4,78;240,00;633,00;0,00;633,00;0,46;0,00;0,00;0,00;0,00;1785,00;24041,00;11258,00;12783,00;0,00;3878,00;1153,37;132,23;4,54;0,00;0,00;0,00;0,00;477300,00;168,00;200,00;0,00;1,00;3,65;0,00;
'B33';16;'tilapia';28/10/2011;3/10/2012;0;1/11/2011;26/9/2012;11,04;1288,00;3765,00;0,00;3765,00;0,06;0,00;0,00;0,00;0,00;5730,00;2619,00;162,00;2457,00;0,00;3344,00;3652,30;340,74;2,31;0,00;0,00;0,00;290955,00;707948,00;518,00;465,00;0,01;1,00;3,18;0,00;
'B22';15;'tilapia';12/11/2011;28/3/2012;0;14/11/2011;28/3/2012;4,42;1938,00;3202,00;0,00;3202,00;0,05;0,00;0,00;0,00;0,00;2923,00;3653,00;219,00;3434,00;0,00;5800,00;2682,39;723,41;2,31;0,00;0,00;0,00;0,00;1126920,00;1216,00;1214,00;0,00;1,00;3,67;0,00;
'B03';42;'tilapia';10/11/2011;26/1/2012;0;17/11/2011;26/1/2012;2,29;8,81;197,00;0,00;197,00;0,57;0,00;0,00;0,00;0,00;403,00;2000,00;1144,00;856,00;0,00;997,00;4480,62;85,83;2,14;0,00;0,00;0,00;0,00;299700,00;13,00;16,00;0,00;1,00;4,11;0,00;
'B47';8;'tilapia';1/11/2011;10/8/2012;0;24/11/2011;2/8/2012;8,52;1642,00;2564,00;0,00;2564,00;0,37;0,00;0,00;0,00;0,00;4544,00;3342,00;1249,00;4137,00;0,00;5233,00;1126,01;300,77;4,92;0,00;0,00;0,00;723425,00;1332895,00;2851,00;1575,00;0,01;1,00;2,22;0,00;
'B36';24;'tilapia';22/11/2011;2/5/2012;0;25/11/2011;2/5/2012;5,21;1069,00;1477,00;0,00;1477,00;0,23;0,00;0,00;0,00;0,00;1037,00;9146,00;2110,00;7036,00;0,00;2976,00;1432,73;283,32;2,54;0,00;0,00;0,00;303510,00;0,00;1349,00;1259,00;0,00;1,00;3,50;0,00;
'B37';13;'tilapia';17/11/2011;16/4/2012;0;1/12/2011;16/4/2012;4,49;1192,00;2401,00;0,00;2401,00;5,92540955036598e-03;0,00;0,00;0,00;0,00;2435,00;2869,00;17,00;3072,00;0,00;5620,00;2609,19;534,52;2,01;0,00;0,00;0,00;0,00;923345,00;1333,00;697,00;0,00;1,00;3,69;0,00;
'B23';14;'tilapia';28/11/2011;1/12/2012;0;6/12/2011;1/12/2012;11,83;1901,00;4581,00;0,00;4581,00;0,02;0,00;0,00;0,00;0,00;10147,00;7052,00;159,00;6893,00;0,00;5362,00;2300,58;387,03;3,78;0,00;0,00;0,00;0,00;710400,00;7052,00;6893,00;0,01;1,00;3,01;0,00;
'B34';18;'crevette';3/12/2011;24/3/2012;0;9/12/2011;24/3/2012;3,47;14,48;783,50;0,00;783,50;0,38;0,00;0,00;0,00;0,00;1218,00;235315,00;90862,00;144594,00;0,00;2106,00;5724,10;225,44;1,58;0,00;0,00;0,00;546904,00;743700,00;0,00;0,00;0,00;1,00;3,21;0,00;
'B30';17;'crevette';8/12/2011;16/3/2012;0;13/12/2011;16/3/2012;3,08;28,68;718,00;0,00;718,00;0,58;0,00;0,00;0,00;0,00;1447,00;270748,00;157366,00;113486,00;0,00;3360,00;3626,48;232,96;2,09;0,00;0,00;0,00;278388,00;843600,00;0,00;0,00;0,00;1,00;2,92;0,00;
'B28';15;'tilapia';16/12/2011;5/9/2012;0;22/12/2011;5/9/2012;8,45;727,55;3443,00;0,00;3443,00;0,51;0,00;0,00;0,00;0,00;5097,00;339783,00;175275,00;164508,00;0,00;4410,00;3965,69;407,02;1,87;0,00;0,00;0,00;1742810,00;1378636,00;2095,00;1887,00;0,04;1,00;2,63;0,00;
'B06';21;'tilapia';19/12/2011;20/4/2012;0;29/12/2011;20/4/2012;3,70;146,46;2061,00;0,00;2061,00;0,48;0,00;0,00;0,00;0,00;2350,00;15050,00;7259,00;7791,00;0,00;3717,00;7574,06;556,28;1,22;0,00;0,00;0,00;321900,00;854700,00;300,00;261,00;0,00;1,00;3,05;0,00;
'B38';14;'crevette';26/12/2011;28/4/2012;0;6/1/2012;28/4/2012;3,70;42,64;918,00;0,00;918,00;0,50;0,00;0,00;0,00;0,00;1578,00;125338,00;63206,00;62132,00;0,00;5727,00;2247,58;247,77;1,80;0,00;0,00;0,00;718570,00;1900447,00;0,00;0,00;0,00;1,00;3,26;0,00;
'AD1';16;'tilapia';3/1/2012;23/3/2012;0;6/1/2012;23/3/2012;2,52;1084,00;1260,00;0,00;1260,00;0,12;0,00;0,00;0,00;0,00;1267,00;2385,00;301,00;2084,00;0,00;4726,00;803,64;499,09;7,19;0,00;0,00;0,00;0,00;710400,00;2385,00;1529,00;0,00;1,00;3,83;0,00;
'B41';14;'tilapia';22/11/2011;31/5/2012;0;12/1/2012;31/5/2012;4,59;120,60;4109,00;0,00;4109,00;0,60;0,00;0,00;0,00;0,00;4597,00;27955,00;17020,00;11717,00;0,00;6275,00;7543,84;895,17;1,15;0,00;0,00;0,00;361855,00;504655,00;310,00;911,00;0,00;1,00;2,99;0,00;
'B56';14;'tilapia';11/1/2012;2/4/2012;0;19/1/2012;2/4/2012;2,42;898,00;759,00;0,00;759,00;0,23;0,00;0,00;0,00;0,00;324,00;1260,00;297,00;963,00;0,00;3148,00;-991,48;312,83;-2,33;0,00;0,00;0,00;0,00;1292340,00;1180,00;963,00;0,00;1,00;2,75;0,00;
'B24';17;'tilapia';7/1/2012;23/8/2012;0;19/1/2012;23/8/2012;7,11;1240,00;3289,00;0,00;3289,00;0,11;0,00;0,00;0,00;0,00;4710,00;2887,00;320,00;2646,00;0,00;5137,00;3054,28;462,27;2,29;0,00;0,00;0,00;24100,00;965700,00;2012,00;1692,00;9,34579439252336e-03;1,00;3,34;0,00;
'B26';24;'tilapia';23/1/2012;28/6/2012;0;24/1/2012;28/6/2012;5,11;319,00;997,00;0,00;997,00;0,12;0,00;0,00;0,00;0,00;1792,00;4477,00;572,00;3905,00;0,00;2709,00;2665,83;194,92;2,64;0,00;0,00;0,00;132820,00;256872,00;4477,00;3772,00;0,00;1,00;3,38;0,00;
'B05';23;'crevette';21/1/2012;14/8/2012;0;10/2/2012;14/8/2012;6,09;87,00;301,00;0,00;301,00;0,64;0,00;0,00;0,00;0,00;1809,00;19989,00;12817,00;7172,00;0,00;3204,00;596,68;49,35;8,45;0,00;0,00;0,00;274180,00;444000,00;61,00;73,00;0,00;1,00;3,37;0,00;
'A03';14;'crevette';28/1/2012;17/9/2012;0;16/2/2012;17/9/2012;7,01;109,00;502,00;0,00;502,00;0,62;0,00;0,00;0,00;0,00;2521,00;25219,00;15706,00;9513,00;0,00;4200,00;726,55;71,54;6,41;0,00;0,00;0,00;783130,00;765900,00;125,00;156,00;0,00;1,00;3,36;0,00;
'A01';22;'tilapia';2/2/2012;4/4/2012;0;3/2/2012;4/4/2012;2,00;947,00;825,00;0,00;825,00;0,09;0,00;0,00;0,00;0,00;13,00;561,00;55,00;506,00;0,00;751,00;-4425,13;412,50;-0,10;0,00;0,00;0,00;0,00;155400,00;561,00;492,00;0,00;1,00;4,70;0,00;
'B44';13;'crevette';16/1/2012;15/10/2012;0;16/2/2012;15/10/2012;7,93;124,50;599,00;0,00;599,00;0,62;0,00;0,00;0,00;0,00;4072,00;37718,00;23592,00;14126,00;0,00;6278,00;518,96;75,49;8,58;0,00;0,00;0,00;2022905,00;2056320,00;70,00;74,00;0,00;1,00;3,52;0,00;
'B17';29;'crevette';4/2/2012;5/12/2012;0;16/2/2012;5/12/2012;9,60;104,00;387,00;0,00;387,00;0,65;0,00;0,00;0,00;0,00;2618,00;20947,00;13795,00;7152,00;0,00;3273,00;490,35;40,28;9,25;0,00;0,00;0,00;742460,00;621600,00;50,00;346,00;0,00;1,00;3,32;0,00;
'B03';43;'tilapia';8/2/2012;21/4/2012;0;9/2/2012;21/4/2012;2,36;10,50;60,50;0,00;60,50;0,73;0,00;0,00;0,00;0,00;93,00;1015,00;747,00;276,00;0,00;997,00;1157,23;25,62;1,86;0,00;0,00;0,00;155400,00;155400,00;15,00;15,00;0,00;1,00;4,16;0,00;
'B29';19;'crevette';26/1/2012;25/9/2012;0;17/2/2012;25/9/2012;7,24;86,00;325,00;0,00;325,00;0,65;0,00;0,00;0,00;0,00;2228,00;21926,00;14469,00;7457,00;0,00;3640,00;493,67;44,85;9,32;0,00;0,00;0,00;652435,00;1041572,00;96,00;54,00;8,62068965517241e-03;1,00;3,34;0,00;
'B19';17;'crevette';11/2/2012;5/12/2012;0;2/3/2012;5/12/2012;9,11;193,00;371,00;0,00;371,00;0,72;0,00;0,00;0,00;0,00;3116,00;26215,00;19035,00;7180,00;0,00;3987,00;266,84;40,70;17,50;0,00;0,00;0,00;463920,00;688200,00;45,00;786,00;0,00;1,00;3,44;0,00;
'B57';6;'tilapia';14/2/2012;19/4/2012;0;18/2/2012;19/4/2012;2,00;447,00;961,89;0,00;961,89;0,05;0,00;0,00;0,00;0,00;795,00;9396,00;536,00;8860,00;0,00;3224,00;4350,40;480,94;1,54;0,00;0,00;0,00;0,00;813960,00;9396,00;8860,14;0,12;1,00;1,85;0,00;
'A02';14;'crevette';15/2/2012;4/12/2012;0;2/3/2012;4/12/2012;9,08;318,00;499,00;0,00;499,00;0,66;0,00;0,00;0,00;0,00;2737,00;26517,00;17665,00;8852,00;0,00;3658,00;296,81;54,94;15,12;0,00;0,00;0,00;910200,00;543900,00;78,00;393,00;6,66666666666667e-03;1,00;3,40;0,00;
'B52';11;'tilapia';7/2/2012;5/1/2013;0;6/3/2012;29/12/2012;10,00;506,00;3673,13;0,00;3673,13;0,02;0,00;0,00;0,00;0,00;8477,00;4471,00;127,00;4365,00;0,00;6000,00;2875,75;367,31;2,67;0,00;0,00;0,00;342720,00;1958930,00;3947,14;3129,00;0,00;1,00;2,87;0,00;
'B32';15;'crevette';16/2/2012;19/11/2012;0;2/3/2012;19/11/2012;8,59;247,00;588,00;0,00;588,00;0,61;0,00;0,00;0,00;0,00;2693,00;27453,00;16781,00;10672,00;0,00;3993,00;541,61;68,45;7,89;0,00;0,00;0,00;1036800,00;1393310,00;40,00;324,00;0,00;1,00;3,65;0,00;
'B45';11;'crevette';2/3/2012;12/11/2012;0;14/3/2012;12/11/2012;7,96;330,00;739,00;0,00;739,00;0,61;0,00;0,00;0,00;0,00;3636,00;36382,00;22430,00;13952,00;0,00;5352,00;522,56;92,75;8,88;0,00;0,00;0,00;671160,00;1706745,00;151,00;146,00;0,00;1,00;3,71;0,00;
'B20';18;'crevette';10/3/2012;22/8/2012;0;15/3/2012;22/8/2012;5,24;152,50;550,00;0,00;550,00;0,62;0,00;0,00;7,00;0,00;2202,00;27166,00;16969,00;10197,00;0,00;4525,00;912,29;104,84;5,53;0,00;0,00;0,00;475540,00;865800,00;50,00;46,00;0,00;1,00;3,19;0,00;
'AD3';11;'tilapia';3/3/2012;26/9/2012;0;14/3/2012;26/9/2012;6,42;638,00;2802,99;0,00;2802,99;0,09;0,00;0,00;0,00;0,00;3809,00;2936,00;268,00;2668,00;0,00;4180,00;4390,98;436,18;1,75;0,00;0,00;0,00;416760,00;628550,00;616,00;374,00;0,01;1,00;2,77;0,00;
'B27';14;'crevette';14/3/2012;4/12/2012;0;15/3/2012;4/12/2012;8,65;868,00;1331,00;0,00;1331,00;0,56;0,00;0,00;0,00;0,00;4614,00;52942,00;30013,00;22929,00;0,00;6081,00;479,22;153,77;9,96;0,00;0,00;0,00;1111300,00;1763440,00;277,00;364,00;0,00;1,00;3,26;0,00;
'B42';14;'crevette';13/3/2012;29/10/2012;0;22/3/2012;29/10/2012;7,24;307,00;788,00;0,00;788,00;0,57;0,00;0,00;0,00;0,00;3142,00;33096,00;18867,00;14229,00;0,00;5185,00;697,49;108,75;6,53;0,00;0,00;0,00;614040,00;1416290,00;60,00;400,00;0,00;1,00;3,11;0,00;
'B15';38;'tilapia';17/3/2012;18/9/2012;0;29/3/2012;18/9/2012;5,67;1064,00;2125,00;0,00;2125,00;7,53390256152687e-03;0,00;0,00;10,00;0,00;1769,00;1991,00;15,00;2349,00;0,00;1509,00;6753,31;374,63;1,66;0,00;0,00;0,00;66600,00;355200,00;801,00;403,00;0,00;1,00;3,20;0,00;
'B30';18;'crevette';16/3/2012;11/12/2012;0;22/3/2012;11/12/2012;8,65;232,00;519,00;0,00;519,00;0,51;0,00;0,00;0,00;0,00;2698,00;23122,00;11882,00;11240,00;0,00;3360,00;537,62;59,96;9,40;0,00;0,00;0,00;378660,00;543600,00;45,00;215,00;6,99300699300699e-03;1,00;3,05;0,00;
'B35';24;'crevette';21/3/2012;10/9/2012;0;24/3/2012;10/9/2012;5,57;88,00;417,00;0,00;417,00;0,42;0,00;0,00;0,00;0,00;1135,00;13165,00;5623,00;7542,00;0,00;2106,00;1526,95;74,81;3,44;0,00;0,00;0,00;157100,00;628220,00;25,00;34,00;0,00;1,00;3,90;0,00;
'B31';24;'crevette';24/3/2012;3/9/2012;0;29/3/2012;3/9/2012;5,18;108,50;406,00;0,00;406,00;0,38;0,00;0,00;0,00;0,00;993,00;12565,00;4820,00;7745,00;0,00;2079,00;1504,91;78,37;3,33;0,00;0,00;0,00;463355,00;794160,00;45,00;36,00;0,00;1,00;2,88;0,00;
'B51';18;'tilapia';26/3/2012;9/10/2012;0;3/4/2012;9/10/2012;6,19;581,00;2607,00;0,00;2607,00;0,10;0,00;0,00;0,00;0,00;4081,00;3234,00;326,00;2908,00;0,00;4681,00;3805,18;420,70;2,01;0,00;0,00;0,00;442680,00;1049580,00;1792,00;1537,00;0,02;1,00;2,23;0,00;
'B34';19;'crevette';30/3/2012;10/9/2012;0;5/4/2012;10/9/2012;5,18;231,00;471,00;0,00;471,00;0,51;0,00;0,00;0,00;0,00;1115,00;17430,00;8918,00;8512,00;0,00;2106,00;1198,48;90,92;4,64;0,00;0,00;0,00;1038415,00;768470,00;25,00;39,00;0,01;1,00;2,59;0,00;
'B04';24;'tilapia';29/3/2012;29/8/2012;0;5/4/2012;29/8/2012;4,78;730,50;2381,00;0,00;2381,00;0,15;0,00;0,00;0,00;0,00;3109,00;2883,00;458,00;2425,00;0,00;3878,00;4843,86;497,40;1,88;0,00;0,00;0,00;326160,00;621600,00;944,00;694,00;0,00;1,00;2,94;0,00;
'B02';41;'tilapia';9/4/2012;23/6/2012;0;12/4/2012;23/6/2012;2,36;20,16;279,00;0,00;279,00;0,59;0,00;0,00;0,00;0,00;297,00;4660,00;2790,00;1870,00;0,00;1233,00;4844,60;118,18;1,14;0,00;0,00;0,00;0,00;155400,00;29,00;24,00;0,00;1,00;3,28;0,00;
'B01';38;'tilapia';10/4/2012;22/6/2012;0;12/4/2012;22/6/2012;2,32;12,00;233,00;0,00;233,00;0,61;0,00;0,00;0,00;0,00;245,00;2993,00;1845,00;1148,00;0,00;880,00;5877,43;100,09;1,10;0,00;0,00;0,00;0,00;244200,00;15,00;11,00;0,00;1,00;3,37;0,00;
'B55';11;'tilapia';6/4/2012;13/9/2012;0;13/4/2012;13/9/2012;5,01;936,00;2412,00;0,00;2412,00;0,33;0,00;0,00;0,00;0,00;4005,00;11197,00;3766,00;7431,00;0,00;2267,00;7070,99;480,82;2,71;0,00;0,00;0,00;1332610,00;1190095,00;10707,00;6216,00;0,04;1,00;1,88;0,00;
'B22';16;'tilapia';2/4/2012;30/10/2012;0;17/4/2012;30/10/2012;6,42;879,00;3095,00;0,00;3095,00;0,21;0,00;0,00;0,00;0,00;5229,00;3434,00;731,00;2746,00;0,00;5800,00;3239,08;481,61;2,35;0,00;0,00;0,00;0,00;1504440,00;218,00;146,00;0,00;1,00;3,15;0,00;
'B13';22;'crevette';14/4/2012;10/12/2012;0;18/4/2012;10/12/2012;7,73;483,50;402,00;0,00;402,00;0,76;0,00;0,00;0,00;0,00;2727,00;32091,00;24669,00;7422,00;0,00;4000,00;-143,45;51,95;-33,46;0,00;0,00;0,00;333000,00;566100,00;46,00;394,00;0,01;1,00;2,84;0,00;
'B37';14;'tilapia';18/4/2012;13/2/2013;0;23/4/2012;13/2/2013;9,70;1993,00;4982,00;0,00;4982,00;0,12;0,00;0,00;0,00;0,00;8402,00;7208,00;895,00;6478,00;0,00;5620,00;2985,62;513,34;2,81;0,00;0,00;0,00;216720,00;1344605,00;3735,00;2423,00;0,00;1,00;2,64;0,00;
'B43';12;'tilapia';17/4/2012;21/12/2012;0;24/4/2012;21/12/2012;7,90;2220,00;2843,38;0,00;2843,38;0,16;0,00;0,00;0,00;0,00;3520,00;4704,00;753,00;3951,00;0,00;6027,00;713,14;359,84;5,64;0,00;0,00;0,00;818880,00;1385160,00;3892,00;2719,00;0,00;1,00;2,34;0,00;
'B54';13;'tilapia';28/6/2012;15/1/2013;0;4/7/2012;15/1/2013;6,39;998,00;2986,00;0,00;2986,00;0,35;0,00;0,00;0,00;0,00;5772,00;4319,00;1512,00;2992,00;0,00;6565,00;2580,38;467,04;2,90;0,00;0,00;0,00;793380,00;2827440,00;1652,00;1775,00;0,00;1,00;2,64;0,00;
'B26';25;'tilapia';3/7/2012;27/10/2012;0;5/7/2012;27/10/2012;3,73;22,02;1982,50;0,00;1982,50;0,06;0,00;0,00;0,00;0,00;2346,00;5000,00;343,00;4657,00;0,00;2709,00;10548,33;530,40;1,19;0,00;0,00;0,00;0,00;592705,00;410,00;367,00;0,00;1,00;3,02;0,00;
'B02';42;'tilapia';24/6/2012;18/10/2012;0;9/7/2012;18/10/2012;3,31;619,00;1146,00;0,00;1146,00;0,21;0,00;0,00;0,00;0,00;1836,00;5845,00;1266,00;4579,00;0,00;1233,00;7031,74;346,06;3,48;0,00;0,00;0,00;66600,00;0,00;5845,00;4346,00;0,08;1,00;2,04;0,00;
'B11';24;'tilapia';2/7/2012;29/1/2013;0;10/7/2012;29/1/2013;6,65;578,00;2193,00;0,00;2193,00;0,12;0,00;0,00;0,00;0,00;3250,00;2263,00;282,00;1981,00;0,00;3700,00;3572,82;329,49;2,01;0,00;0,00;0,00;0,00;896940,00;863,00;311,00;0,00;1,00;2,67;0,00;
'B38';15;'crevette';5/7/2012;24/11/2012;0;9/7/2012;24/11/2012;4,52;31,83;1262,00;0,00;1262,00;0,71;0,00;0,00;0,00;0,00;4186,00;459200,00;326205,00;132995,00;0,00;5727,00;2586,38;278,92;3,40;0,00;0,00;0,00;361620,00;2518135,00;0,00;0,00;0,00;1,00;2,60;0,00;
'B41';15;'tilapia';12/7/2012;14/2/2013;0;16/7/2012;14/2/2013;6,98;511,00;1759,50;0,00;1759,50;0,46;0,00;0,00;0,00;0,00;4719,00;3982,00;1851,00;2131,00;0,00;6275,00;1552,14;251,94;3,77;0,00;0,00;0,00;451500,00;2118295,00;1347,00;933,00;8,06451612903226e-03;1,00;2,60;0,00;
'B12';23;'tilapia';13/7/2012;13/3/2013;0;17/7/2012;13/3/2013;7,83;868,00;3962,00;0,00;3962,00;0,25;0,00;0,00;0,00;0,00;7822,00;4750,00;1193,00;3557,00;0,00;4000,00;5377,73;505,61;2,52;0,00;0,00;0,00;421800,00;1150620,00;4815,00;3471,00;0,01;1,00;2,43;0,00;
'B25';17;'tilapia';16/7/2012;27/12/2012;0;19/7/2012;27/12/2012;5,27;1039,00;3062,00;0,00;3062,00;0,22;0,00;0,00;0,00;0,00;4601,00;3625,00;826,00;3533,00;0,00;4774,00;4373,45;580,06;2,27;0,00;0,00;0,00;0,00;1085780,00;1618,00;1884,00;0,00;1,00;3,40;0,00;
'B48';1;'tilapia';18/7/2012;17/1/2013;0;25/7/2012;17/1/2013;5,77;425,00;785,00;0,00;785,00;0,78;0,00;0,00;0,00;0,00;1017,00;3257,00;2556,00;701,00;0,00;5421,00;626,97;136,03;2,82;0,00;0,00;0,00;409265,00;1780145,00;2707,00;522,00;0,22;1,00;1,43;0,00;
'B46';11;'crevette';21/7/2012;19/12/2012;0;25/7/2012;19/12/2012;4,81;267,79;1016,00;0,00;1016,00;0,72;0,00;0,00;0,00;0,00;3367,00;227306,00;165189,00;62117,00;0,00;4592,00;1841,78;210,80;4,50;0,00;0,00;0,00;630210,00;1856400,00;0,00;0,00;0,00;1,00;4,07;0,00;
'B39';13;'tilapia';1/8/2012;26/2/2013;0;3/8/2012;26/2/2013;6,78;1458,00;3046,00;34,04;3080,04;0,14;0,00;0,34;0,00;0,00;5258,00;3720,00;534,00;3163,00;23,00;5768,00;2257,37;448,80;3,24;3,9875173370319e-03;2,67;0,00;271320,00;2008625,00;1613,00;1446,00;0,00;1,00;3,38;0,00;
'B08';29;'tilapia';12/8/2012;6/3/2013;0;17/8/2012;6/3/2013;6,59;1198,00;2352,00;436,32;2788,32;0,12;0,00;4,36;0,00;0,00;3595,00;2704,00;343,00;2050,00;355,00;3926,00;3348,69;356,89;2,26;0,09;50,45;0,00;0,00;899100,00;1097,00;611,00;0,00;1,00;3,19;0,00;
'B58';10;'tilapia';13/8/2012;24/4/2013;0;17/8/2012;24/4/2013;8,19;2037,00;3153,88;0,00;3153,88;0,08;0,00;0,00;0,00;0,00;6863,00;4500,00;388,00;4112,00;0,00;6393,00;1161,17;384,77;6,14;0,00;0,00;0,00;918240,00;2179985,00;4129,00;3970,00;0,00;1,00;3,20;0,00;
'B16';29;'tilapia';17/8/2012;24/1/2013;0;23/8/2012;24/1/2013;5,04;628,00;875,00;0,00;875,00;0,31;0,00;0,00;0,00;0,00;1630,00;1571,00;501,00;1070,00;0,00;1798,00;1482,25;173,29;6,59;0,00;0,00;0,00;621600,00;643800,00;769,00;37,00;0,00;1,00;3,23;0,00;
'B05';24;'tilapia';25/8/2012;5/2/2013;0;29/8/2012;5/2/2013;5,24;945,00;2181,71;0,00;2181,71;0,17;0,00;0,00;0,00;0,00;2937,00;2336,00;402,00;1934,00;0,00;3204,00;4008,59;415,88;2,37;0,00;0,00;0,00;166500,00;155400,00;736,00;187,00;0,00;1,00;3,21;0,00;
'B57';7;'tilapia';3/9/2012;22/5/2013;0;5/9/2012;22/5/2013;8,49;1053,00;2440,94;0,00;2440,94;3,49283967865875e-04;0,00;0,00;0,00;0,00;4418,00;2863,00;1,00;2864,00;0,00;3224,00;2761,93;287,44;3,18;0,00;0,00;0,00;1724500,00;685440,00;2863,00;2864,00;0,00;1,00;2,35;0,00;
'AD1';17;'crevette';18/8/2012;16/4/2013;0;6/9/2012;16/4/2013;7,27;153,00;835,00;0,00;835,00;0,47;0,00;0,00;0,00;0,00;2891,00;28740,00;13708,00;15032,00;0,00;4726,00;1080,12;114,71;4,23;0,00;0,00;0,00;910200,00;932400,00;0,00;1,00;0,00;1,00;3,72;0,00;
'AD2';16;'tilapia';29/8/2012;20/2/2013;0;6/9/2012;20/2/2013;5,47;725,00;1438,55;0,00;1438,55;0,15;0,00;0,00;0,00;0,00;1711,00;1812,00;276,00;1536,00;0,00;2098,00;3384,10;262,73;2,39;0,00;0,00;0,00;266400,00;999000,00;520,00;450,00;0,04;1,00;2,00;0,00;
'B24';18;'tilapia';3/9/2012;19/6/2013;0;11/9/2012;19/6/2013;9,21;1396,00;4642,00;0,00;4642,00;0,05;0,00;0,00;0,00;0,00;8074,00;4035,00;228,00;3807,00;0,00;5137,00;3736,53;503,84;2,48;0,00;0,00;0,00;482400,00;111000,00;1470,00;976,00;0,02;1,00;2,70;0,00;
'B04';25;'crevette';4/9/2012;11/3/2013;0;12/9/2012;11/3/2013;5,90;130,00;806,25;0,00;806,25;0,37;0,00;0,00;0,00;0,00;1854,00;23270,00;8688,00;14582,00;0,00;3878,00;1609,77;136,61;2,74;0,00;0,00;0,00;1287600,00;921300,00;40,00;56,00;0,00;1,00;3,54;0,00;
'B14';22;'crevette';13/9/2012;25/3/2013;0;21/9/2012;25/3/2013;6,06;150,00;776,00;0,00;776,00;0,39;0,00;0,00;0,00;0,00;1995,00;23418,00;9282,00;14136,00;0,00;3800,00;1479,63;127,93;3,18;0,00;0,00;0,00;210900,00;444000,00;40,00;38,00;0,00;1,00;3,39;0,00;
'B31';25;'crevette';18/9/2012;25/2/2013;0;28/9/2012;25/2/2013;4,91;75,00;500,00;0,00;500,00;0,22;0,00;0,00;0,00;0,00;919,00;12675,00;2883,00;9792,00;0,00;2079,00;2264,54;101,66;2,16;0,00;0,00;0,00;95700,00;724800,00;25,00;8,00;0,00;1,00;3,61;0,00;
'B20';19;'crevette';23/9/2012;24/4/2013;0;5/10/2012;24/4/2013;6,59;233,50;800,00;0,00;800,00;0,51;0,00;0,00;0,00;0,00;2562,00;29733,00;15268,00;14465,00;0,00;4525,00;1034,95;121,39;4,52;0,00;0,00;0,00;788100,00;1010100,00;168,00;218,00;0,00;1,00;3,28;0,00;
'B34';20;'crevette';28/9/2012;26/3/2013;0;5/10/2012;26/3/2013;5,63;89,00;486,00;0,00;486,00;0,33;0,00;0,00;0,00;0,00;1020,00;13089,00;4341,00;8748,00;0,00;2106,00;1821,12;86,18;2,56;0,00;0,00;0,00;144480,00;603940,00;25,00;33,00;0,00;1,00;3,17;0,00;
'B35';25;'crevette';2/10/2012;18/3/2013;0;5/10/2012;18/3/2013;5,37;77,00;432,00;0,00;432,00;0,36;0,00;0,00;0,00;0,00;965,00;12705,00;4629,00;8076,00;0,00;2106,00;1707,90;80,34;2,71;0,00;0,00;0,00;126420,00;622060,00;30,00;44,00;0,00;1,00;3,78;0,00;
'B06';23;'crevette';2/10/2012;9/4/2013;0;11/10/2012;9/4/2013;5,90;135,00;806,00;0,00;806,00;0,33;0,00;0,00;0,00;0,00;1800,00;22540,00;7552,00;14988,00;0,00;3717,00;1666,45;136,57;2,68;0,00;0,00;0,00;743700,00;899100,00;45,00;48,00;0,00;1,00;3,58;0,00;
'B28';16;'tilapia';8/10/2012;3/7/2013;0;11/10/2012;3/7/2013;8,68;1510,13;3854,94;0,00;3854,94;0,00;0,00;0,00;0,00;0,00;5342,00;2752,00;0,00;4670,00;0,00;4410,00;3333,95;443,68;2,27;0,00;0,00;0,00;0,00;817800,00;660,40;2538,00;8,40336134453781e-03;1,00;2,58;0,00;
'B15';39;'tilapia';10/10/2012;30/1/2013;0;11/10/2012;30/1/2013;3,63;833,50;1281,90;0,00;1281,90;0,13;0,00;0,00;0,00;0,00;1463,00;1868,00;253,00;1644,00;0,00;1509,00;4448,28;352,23;3,26;0,00;0,00;0,00;0,00;377400,00;1486,00;912,00;0,00;1,00;3,36;0,00;
'AD3';12;'tilapia';10/10/2012;5/6/2013;0;12/10/2012;5/6/2013;7,73;1051,00;3058,00;0,00;3058,00;0,04;0,00;0,00;0,00;0,00;6356,00;5879,00;249,00;5630,00;0,00;4180,00;3380,61;395,20;3,16;0,00;0,00;0,00;521700,00;843900,00;5896,00;5051,00;0,00;1,00;2,68;0,00;
