'bassin';'cycle';'produit';'daterempli';'datevide';'carpes';'datepsemis';'datedp�che';'nbremois';'poidssem�';'poidsp�ch�';'poidsrestant';'poidsp�ch�restant';'Tauxmortalit�';'poidsalimentth�o';'poidsalimentstat';'poidsalimentdonn�pgm';'poidsalimentdonn�';'poidsalimentdonn�tot';'quantsem�e';'quantmort';'quantp�ch�e';'quantrestante';'surface';'RendementHa';'poidsp�ch�mois';'tauxconversion';'quantit�m2';'grammesm2';'poidsalimentha';'recambiogallons';'llenadogallons';'quantsem�ecarpes';'quantp�ch�ecarpes';'tauxalerteO2';'niveaudalerteO2';'moyenneO2';'poidstotalimentselect';'typealimentselect'
'NU';2;'tilapia';20/11/2016;20/12/2016;0;20/11/2016;20/12/2016;0,98;3,01;39,43;0,00;39,43;0,05;0,00;0,00;0,00;0,00;97,00;3427,00;174,00;3253,00;0,00;18,00;112039,51;40,08;2,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;
'B07';29;'crevette';5/12/2016;23/5/2017;0;9/12/2016;23/5/2017;5,40;543,00;2017,00;0,00;2017,00;0,24;0,00;0,00;0,00;0,00;3275,00;42082,00;10320,00;31762,00;0,00;6164,00;2408,17;372,83;2,22;0,00;0,00;0,00;0,00;0,00;70,00;78,00;0,00;1,00;3,35;0,00;
'B26';33;'crevette';7/12/2016;15/5/2017;0;13/12/2016;15/5/2017;5,01;194,00;960,00;0,00;960,00;0,25;0,00;0,00;0,00;0,00;1749,00;21380,00;5412,00;15968,00;0,00;3365,00;2472,23;191,37;2,28;0,00;0,00;0,00;0,00;0,00;30,00;37,00;0,00;1,00;3,57;0,00;
'B34';28;'crevette';5/12/2016;22/3/2017;0;13/12/2016;22/3/2017;3,24;157,00;576,00;0,00;576,00;0,11;0,00;0,00;0,00;0,00;831,00;13091,00;1560,00;11531,00;0,00;2106,00;3339,31;177,45;1,98;0,00;0,00;0,00;0,00;0,00;23,00;26,00;0,00;1,00;3,66;0,00;
'B39';21;'crevette';12/12/2016;4/8/2017;0;16/12/2016;4/8/2017;7,57;12,97;3401,00;0,00;3401,00;0,38;0,00;0,00;0,00;0,00;4463,00;653617,00;253576,00;400041,00;0,00;5768,00;4225,19;449,04;1,31;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,02;1,00;2,78;0,00;
'B27';21;'crevette';12/12/2016;14/6/2017;0;16/12/2016;14/6/2017;5,90;473,00;1740,00;0,00;1740,00;0,27;0,00;0,00;0,00;0,00;3321,00;41683,00;11503,00;30180,00;0,00;6081,00;1923,38;294,83;2,62;0,00;0,00;0,00;0,00;0,00;60,00;52,00;0,02;1,00;2,77;0,00;
'B03';58;'tilapia';19/12/2016;6/4/2017;0;20/12/2016;6/4/2017;3,50;39,43;1973,52;0,00;1973,52;0,14;0,00;0,00;0,00;0,00;2401,00;3253,00;470,00;2783,00;0,00;997,00;30125,56;562,54;1,24;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,01;1,00;3,19;0,00;
'B36';32;'crevette';19/12/2016;10/4/2017;0;22/12/2016;10/4/2017;3,57;293,00;830,00;0,00;830,00;0,10;0,00;0,00;0,00;0,00;1153,00;17873,00;1841,00;16032,00;0,00;2976,00;2750,75;232,24;2,14;0,00;0,00;0,00;0,00;0,00;36,00;22,00;0,00;1,00;4,03;0,00;
'B35';34;'crevette';20/12/2016;4/4/2017;0;23/12/2016;4/4/2017;3,34;206,00;608,00;0,00;608,00;0,19;0,00;0,00;0,00;0,00;747,00;12690,00;2512,00;10178,00;0,00;2106,00;3109,59;181,80;1,85;0,00;0,00;0,00;0,00;0,00;20,00;39,00;0,01;1,00;3,55;0,00;
'NU';3;'tilapia';27/12/2016;18/1/2017;0;27/12/2016;18/1/2017;0,72;4,62;31,09;0,00;31,09;0,04;0,00;0,00;0,00;0,00;44,00;5250,00;261,00;4989,00;0,00;18,00;111083,49;43,11;1,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;
