,Bassin,Cycle,Lots
799,B03,43,1
800,B05,23,1
801,B36,24,2
802,B03,43,2
803,A03,14,1
804,B44,13,1
805,B17,29,1
806,B29,19,1
807,B57,6,1
808,A02,14,1
809,B19,17,1
810,B32,15,1
811,B52,11,1
812,B52,11,2
813,B45,11,1
814,AD3,11,1
815,B20,18,1
816,B27,14,1
817,AD3,11,2
818,B30,18,1
819,B42,14,1
820,B35,24,1
821,B17,29,2
822,B19,17,2
823,B31,24,1
824,B15,38,1
825,B15,38,2
826,B51,18,1
827,B51,18,2
828,B04,24,1
829,B04,24,2
830,B34,19,1
831,B42,14,2
832,B01,38,1
833,B02,41,1
834,B40,13,3
835,B55,11,1
836,B22,16,1
837,B22,16,2
838,B13,22,1
839,B13,22,2
840,B43,12,1
841,B43,12,2
842,B14,21,1
843,B37,14,1
844,B06,22,1
845,B06,22,2
846,B06,22,3
847,B53,9,1
848,B53,9,2
849,B37,14,2
850,B37,14,3
851,B28,15,3
852,B03,44,1
853,A01,23,1
854,B45,11,2
855,B05,23,2
856,B07,22,1
857,B36,25,1
858,L01,3,1
859,B07,22,2
860,B10,22,1
861,B36,25,2
862,B10,22,2
863,B01,39,1
864,B28,15,4
865,B21,15,1
866,B54,13,1
867,B26,25,1
868,B38,15,1
869,B11,24,1
870,B02,42,1
871,B11,24,2
872,B41,15,1
873,B12,23,1
874,B41,15,2
875,B25,17,1
876,B25,17,2
877,B54,13,2
878,B21,15,2
879,B38,15,2
880,B48,1,1
881,B46,11,1
882,B39,13,1
883,B39,13,2
884,L01,3,2
885,B13,22,3
886,B58,10,1
887,B58,10,2
888,B08,29,1
889,B08,29,2
890,B19,17,3
891,B25,17,3
892,B16,29,1
893,B16,29,2
894,B05,24,1
895,B05,24,2
896,B57,7,1
897,AD1,17,1
898,AD2,16,1
899,AD2,16,2
900,B24,18,1
901,B04,25,1
902,B24,18,2
903,B14,22,1
904,B31,25,1
905,B46,11,2
906,B20,19,1
907,B34,20,1
908,B35,25,1
909,B37,14,4
910,B06,23,1
911,B28,16,1
912,B15,39,1
913,B15,39,2
914,B28,16,2
915,AD3,12,1
916,A03,15,1
917,B29,20,1
918,B34,20,2
919,B43,12,3
920,B33,17,1
921,B21,15,3
922,B40,14,1
923,A03,15,2
924,B20,19,2
925,A01,24,1
926,B03,45,1
927,B33,17,2
928,B29,20,2
929,B42,15,1
930,B40,14,2
931,B26,26,1
932,B44,14,1
933,B22,17,1
934,B44,14,2
935,B07,22,3
936,B01,40,1
937,B02,43,1
938,B55,12,1
939,B51,19,1
940,B32,16,1
941,B32,16,2
942,B56,15,1
943,B51,19,2
944,B54,13,3
945,B14,22,2
946,B16,29,3
947,B36,25,3
948,B45,12,1
949,B41,15,3
950,B12,23,2
951,B28,16,3
952,B36,26,1
953,B58,10,3
954,B46,12,1
955,A02,15,1
956,B38,16,1
957,B57,7,2
958,B46,12,2
959,B19,18,1
960,B25,18,1
961,B25,18,2
962,B15,39,3
963,B23,15,1
964,B53,10,1
965,B08,29,3
966,B21,16,1
967,B21,16,2
968,B17,30,1
969,B39,13,3
970,B39,13,4
971,AD3,12,2
972,B52,12,1
973,B02,44,1
974,B15,40,1
975,B54,14,1
976,B54,14,2
977,B52,12,2
978,B02,44,2
979,B55,13,1
980,B15,40,2
