,Bassin,Cycle,Lots
1485,B49,6,2
1486,B29,26,1
1487,B23,22,1
1488,B28,22,1
1489,B46,19,1
1490,B52,17,2
1491,B31,33,1
1492,B47,11,1
1493,B02,54,1
1494,B24,25,1
1495,B05,31,1
1496,B05,31,2
1497,B40,20,1
1498,B01,50,1
1499,B42,22,1
1500,B05,31,3
1501,B58,16,1
1502,B58,16,2
1503,AD1,24,3
1504,B51,27,1
1505,NU,5,1
1506,B04,33,1
1507,B04,33,2
1508,LAG,7,1
1509,B21,24,1
1510,B09,6,1
1511,B39,21,2
1512,B03,59,1
1513,MF,5,2
1514,B43,19,1
1515,B37,22,1
1516,B20,25,1
1517,B19,25,1
1518,356,1,1
1519,B02,55,1
1520,NU,6,1
1521,B26,34,1
1522,B32,24,1
1523,B01,51,1
1524,B19,25,2
1525,SA,1,1
1526,B07,30,1
1527,A02,24,1
1528,A03,23,1
1529,B44,22,1
1530,A03,23,2
1531,B03,60,1
1532,B05,32,1
1533,B45,19,1
1534,B30,26,1
1535,B25,27,1
1536,B04,34,1
1537,B27,22,1
1538,B38,23,1
1539,B11,33,1
1540,334,1,1
1541,AD1,25,1
1542,B29,27,1
1543,B49,7,1
1544,B02,56,1
1545,B08,37,1
1546,MF,6,1
1547,A02,25,1
1548,B22,24,1
1549,B19,26,1
1550,B32,24,2
1551,B56,16,1
1552,B31,34,1
1553,AD1,25,2
1554,B10,30,1
1555,B54,20,1
1556,B04,35,1
1557,A03,24,1
1558,B28,23,1
1559,B24,26,1
1560,AD1,26,1
1561,A03,24,2
1562,B58,17,1
1563,B53,17,1
1564,B39,22,1
1565,B47,12,1
1566,B23,23,1
1567,B26,35,1
1568,B01,52,1
1569,B02,57,1
1570,B46,20,1
1571,B52,18,1
1572,B19,27,1
1573,B03,61,1
1574,B57,15,1
1575,B51,28,1
1576,A02,26,1
1577,B42,23,1
1578,B37,23,1
1579,B48,7,1
1580,B20,26,1
1581,A03,25,1
1582,B09,7,1
1583,B56,17,1
1584,B40,21,1
1585,B43,20,1
1586,LAG,8,1
1587,B31,35,1
1588,B31,35,2
1589,B21,25,1
1590,356,2,1
1591,B07,31,1
1592,B45,20,1
1593,334,2,1
1594,B44,23,1
1595,B25,28,1
1596,SA,2,1
1597,B05,33,1
1598,B38,24,1
1599,B08,38,1
1600,B27,23,1
1601,B54,21,1
1602,B49,8,1
1603,B11,34,1
1604,MF,7,1
1605,B29,28,1
1606,B30,27,1
1607,B39,23,1
1608,A02,27,1
1609,B48,7,2
1610,B32,25,1
1611,B22,25,1
1612,B46,21,1
1613,B02,58,1
1614,B57,16,1
1615,B57,16,2
1616,B28,24,1
1617,B26,36,1
1618,B01,53,1
1619,B26,36,2
1620,B10,31,1
1621,B04,36,1
1622,B01,53,2
1623,B46,21,2
1624,B54,21,2
1625,B03,62,1
1626,B03,62,2
1627,B53,18,1
1628,B53,18,2
1629,AD1,27,1
1630,B23,24,1
1631,B58,18,1
1632,B52,19,1
1633,B51,29,1
1634,B42,24,1
1635,334,3,1
1636,B09,8,1
1637,B56,18,1
1638,B31,36,1
1639,B19,28,1
1640,B47,12,2
1641,B25,29,1
1642,B24,27,1
1643,B59,1,1
1644,B59,1,2
1645,B41,23,1
1646,B40,22,1
1647,B38,25,1
1648,B38,25,2
1649,AD1,27,2
1650,B20,27,1
1651,B57,17,1
1652,A03,26,1
1653,B36,33,1
1654,B03,63,1
1655,B37,24,1
1656,B47,13,1
1657,B43,21,1
1658,LAG,9,1
1659,B43,21,2
1660,B21,26,1
1661,B01,54,1
1662,B48,8,1
1663,B49,9,1
1664,B47,13,2
1665,B07,32,1
1666,B02,59,1
1667,B57,18,1
1668,B05,34,1
1669,B26,37,1
1670,B32,26,1
1671,B32,26,2
1672,B45,21,1
1673,SA,3,1
1674,B23,25,1
1675,A02,28,1
1676,B38,26,1
1677,B38,26,2
1678,B44,24,1
1679,MF,8,1
1680,B54,22,1
1681,B26,38,1
1682,B41,23,2
1683,AD1,28,1
1684,B39,24,1
1685,B39,24,2
1686,B50,1,1
1687,B28,25,1
1688,B08,39,1
1689,B54,22,2
1690,LAG,10,1
1691,B46,22,1
1692,B46,22,2
1693,B31,37,1
1694,B10,32,1
1695,B10,32,2
1696,B31,37,2
1697,B37,25,1
1698,B56,19,1
1699,B30,28,1
1700,B22,26,1
1701,B27,24,1
1702,B08,39,2
1703,B29,29,1
1704,B25,30,1
1705,B09,9,1
1706,B09,9,2
1707,B19,29,1
1708,B03,64,1
1709,B58,19,1
1710,B32,27,1
1711,B32,27,2
1712,B04,37,1
1713,B04,37,2
1714,B43,22,1
1715,B43,22,2
1716,B38,27,1
1717,B38,27,2
1718,B57,19,1
1719,MF,9,1
1720,B02,60,1
1721,B53,19,1
1722,B01,55,1
1723,B26,39,1
1724,SA,4,1
1725,B25,31,1
1726,B08,40,1
1727,B11,35,1
1728,B37,26,1
1729,MF,9,2
1730,B41,24,1
1731,B42,25,1
1732,A03,27,1
1733,B24,28,1
1734,B03,65,1
1735,B34,29,1
1736,B36,34,1
1737,B39,25,1
1738,B44,25,1
1739,B40,23,1
1740,B19,30,1
1741,B21,27,1
1742,B31,38,1
1743,B05,35,1
1744,B25,32,1
1745,B20,28,1
1746,B05,35,2
1747,B53,19,2
1748,B25,32,2
1749,B52,20,1
1750,B23,26,1
1751,B25,32,3
1752,B56,20,1
1753,B56,20,2
1754,B08,40,2
1755,A02,29,1
1756,B07,33,1
1757,B58,19,2
1758,B48,9,1
1759,B04,38,1
1760,B45,22,1
1761,B22,27,1
1762,B54,23,1
1763,AD1,29,1
1764,B32,28,1
1765,B32,28,2
1766,B28,26,1
1767,B30,29,1
1768,B30,29,2
1769,B09,10,1
1770,B59,2,1
1771,B01,56,1
1772,B29,30,1
1773,B02,61,1
1774,B26,40,1
1775,B31,39,1
1776,LAG,11,1
1777,B10,33,1
1778,B51,30,1
1779,B31,39,2
1780,B11,36,1
1781,B49,11,1
1782,B03,66,1
1783,B50,2,1
1784,B01,57,1
1785,B08,41,1
1786,B05,36,1
1787,B05,36,2
1788,A03,28,1
1789,B27,25,1
1790,B27,25,2
1791,B47,14,1
1792,B24,29,1
1793,B38,28,1
1794,B46,23,1
1795,SA,5,1
1796,B31,40,1
1797,B31,40,2
1798,B27,25,3
1799,MF,10,1
1800,MF,10,2
1801,B19,31,1
1802,B43,23,1
1803,B34,30,1
1804,B36,35,1
1805,B57,20,1
1806,B07,34,1
1807,B26,41,1
1808,B56,21,1
1809,B25,33,1
1810,B53,20,1
1811,B25,33,2
1812,B32,28,3
1813,A02,30,1
1814,B37,27,1
1815,AD1,30,1
1816,B39,26,1
1817,B41,25,1
1818,B42,26,1
1819,B01,58,1
1820,B59,2,2
1821,B02,62,1
1822,B20,29,1
1823,B02,62,2
1824,B21,28,1
1825,B21,28,2
1826,B01,58,2
1827,B22,28,1
1828,B22,28,2
1829,B23,27,1
1830,B40,24,1
1831,B24,30,1
1832,FA,1,1
1833,B58,20,1
1834,B31,41,1
1835,B10,34,1
1836,B24,30,2
1837,B52,21,1
1838,B03,67,1
1839,B26,42,1
1840,B09,11,1
1841,B08,42,1
1842,B45,23,1
1843,B30,30,1
1844,B48,10,1
1845,M2,1,1
1846,B04,39,1
1847,MF,11,1
1848,MF,11,2
1849,M1,1,1
1850,B29,31,1
1851,B44,26,1
1852,B38,29,1
1853,B25,34,1
1854,B01,59,1
1855,B28,27,1
1856,B23,27,2
1857,B50,3,1
1858,B21,29,1
1859,A02,31,1
1860,LAG,12,1
1861,B51,31,1
1862,B11,37,1
1863,B32,29,1
1864,B32,29,2
1865,B27,26,1
1866,B27,26,2
1867,B05,37,1
1868,M1,2,1
1869,B47,15,1
1870,B25,35,1
1871,B03,68,1
1872,B38,30,1
1873,B57,21,1
1874,B26,43,1
1875,FA,2,1
1876,B31,42,1
1877,B46,24,1
1878,B56,22,1
1879,A03,29,1
1880,B22,29,1
1881,B42,27,1
1882,B19,32,1
1883,B34,31,1
1884,B19,32,2
1885,B02,63,1
1886,B02,63,2
1887,B54,24,1
1888,B59,3,1
1889,SA,6,1
1890,B36,36,1
1891,M2,2,1
1892,B05,37,2
1893,B20,30,1
1894,B23,28,1
1895,B24,31,1
1896,B03,69,1
1897,B43,24,1
1898,B07,35,1
1899,B39,27,1
1900,A02,32,1
1901,B47,16,1
1902,B37,28,1
1903,B50,4,1
1904,B41,26,1
1905,MF,12,1
1906,AD1,31,1
1907,B53,21,1
1908,B30,31,1
1909,B10,35,1
1910,B30,31,2
1911,B10,35,2
1912,B27,27,1
1913,B40,25,1
1914,B09,12,1
1915,B09,12,2
1916,B32,30,1
1917,B02,64,1
1918,M1,3,1
1919,B19,33,1
1920,B48,11,1
1921,B08,43,1
1922,B49,12,1
1923,FA,3,1
1924,AD1,32,1
1925,B01,60,1
1926,B05,38,1
1927,B58,21,1
1928,B32,30,2
1929,B36,37,1
1930,B56,23,1
1931,B03,70,1
1932,B29,32,1
1933,B52,22,1
1934,B36,37,2
1935,B29,32,2
1936,B11,38,1
1937,B45,24,1
1938,B28,28,1
1939,B57,22,1
1940,B26,44,1
1941,B30,32,1
1942,B26,44,2
1943,B04,40,1
1944,LAG,13,1
1945,B51,32,1
1946,B32,31,1
1947,B38,31,1
1948,M2,3,1
1949,B21,30,1
1950,M1,4,1
1951,B10,36,1
1952,B10,36,2
1953,B02,65,1
1954,B27,28,1
1955,B28,28,2
1956,B31,43,1
1957,B31,43,2
1958,B09,13,1
1959,B25,36,1
1960,A02,33,1
1961,M1,5,1
1962,B21,30,2
1963,B44,27,1
1964,B37,29,1
1965,B37,29,2
1966,B05,39,1
1967,B34,32,1
1968,B34,32,2
1969,A03,30,1
1970,B46,25,1
1971,B36,38,1
1972,B38,31,2
1973,B03,71,1
1974,M2,4,1
1975,B01,61,1
1976,FA,4,1
1977,B46,25,2
1978,B56,24,1
1979,B22,30,1
1980,B22,30,2
1981,LAG,13,2
1982,B20,31,1
1983,B28,29,1
1984,B26,45,1
1985,B42,28,1
1986,B23,29,1
1987,B23,29,2
1988,B02,66,1
1989,B42,28,2
1990,B29,33,1
1991,SA,7,1
1992,B31,44,1
1993,B39,28,1
1994,B11,39,1
1995,MF,13,1
1996,B07,36,1
1997,B31,44,2
1998,B25,37,1
1999,M1,6,1
2000,B24,32,1
2001,B24,32,2
2002,B50,5,1
2003,B54,25,1
2004,B10,37,1
2005,B10,37,2
2006,B21,31,1
2007,B41,27,1
2008,B57,23,1
2009,B57,23,2
2010,B08,44,1
2011,B59,4,1
2012,B43,25,1
2013,M2,5,1
2014,B53,22,1
2015,A02,34,1
2016,LAG,14,2
2017,LAG,14,3
2018,AD1,33,1
2019,AD1,33,2
2020,B40,26,1
2021,B38,32,1
2022,B37,30,1
2023,B37,30,2
2024,B46,26,1
2025,B28,30,1
2026,B48,12,1
2027,B31,45,1
2028,FA,5,1
2029,B30,33,1
2030,B49,13,1
2031,B02,67,1
2032,B01,62,1
2033,B28,30,2
2034,B32,32,1
2035,B32,32,2
2036,B52,23,1
2037,B21,32,1
2038,B51,33,1
2039,B34,33,1
2040,B19,34,1
2041,B45,25,1
2042,B44,28,1
2043,B42,29,1
2044,B22,31,1
2045,B58,22,1
2046,M1,7,1
2047,B04,41,1
2048,B47,17,1
2049,B23,30,1
2050,B27,29,1
2051,B56,25,1
2052,B04,41,2
2053,B36,39,1
2054,B24,33,1
2055,B26,46,1
2056,B09,14,1
2057,B36,39,2
2058,B23,30,2
2059,B05,40,1
2060,B50,6,1
2061,B38,33,1
2062,B20,32,1
2063,B08,45,1
2064,B31,46,1
2065,A03,31,1
2066,AD1,34,1
2067,B37,31,1
2068,B41,28,1
2069,B02,68,1
2070,B39,29,1
2071,B29,34,1
2072,B29,34,2
2073,SA,8,1
2074,SA,8,2
2075,B57,24,1
2076,B11,40,1
2077,B32,33,1
2078,B32,33,2
2079,B34,34,1
2080,B34,34,2
2081,SA,8,3
2082,AD1,34,2
2083,B01,63,1
2084,B34,34,3
2085,FA,6,1
2086,B30,34,1
2087,B07,37,1
2088,B02,68,2
2089,LAG,15,1
2090,B40,27,1
2091,MF,14,1
2092,B07,37,2
2093,B28,31,1
2094,B25,38,1
2095,B31,47,1
2096,M2,6,1
2097,B29,35,1
2098,B29,35,2
2099,M1,8,1
2100,B27,30,1
2101,B10,38,1
2102,B23,31,1
2103,B10,38,2
2104,B54,26,1
2105,B36,40,1
2106,B36,40,2
