'date';'u5';'u6';'u8';'u10';'u12';'u15';'u16/20';'u21/25';'peladas'
22/6/2007;0,00;0,00;18,00;0,00;5,00;0,00;152,00;0,00;1,50
25/6/2007;0,00;0,00;10,00;23,00;60,00;0,00;152,00;0,00;5,00
26/6/2007;0,00;15,00;15,00;10,00;10,00;0,00;12,00;0,00;2,50
27/6/2007;0,00;10,00;20,00;25,00;30,00;0,00;148,50;0,00;16,00
28/6/2007;0,00;10,00;20,00;20,00;40,00;0,00;0,00;0,00;4,50
2/7/2007;0,00;5,00;17,00;30,00;45,00;0,00;169,50;0,00;17,00
3/7/2007;0,00;5,00;11,50;15,00;39,00;0,00;116,50;0,00;15,00
5/7/2007;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6/7/2007;0,00;0,00;0,00;9,00;5,00;0,00;85,00;0,00;5,00
9/7/2007;0,00;0,00;5,00;17,00;34,50;0,00;229,00;0,00;4,50
11/7/2007;0,00;0,00;5,00;7,50;10,00;0,00;36,50;0,00;0,50
12/7/2007;0,00;0,00;5,00;20,00;40,00;0,00;84,50;0,00;6,00
16/7/2007;0,00;0,00;5,00;5,00;25,00;0,00;126,50;0,00;3,00
17/7/2007;0,00;0,00;5,00;8,00;12,00;0,00;67,00;0,00;4,00
18/7/2007;0,00;0,00;5,00;0,00;5,00;0,00;57,50;0,00;3,00
23/7/2007;0,00;0,00;5,00;8,50;25,00;0,00;77,00;0,00;1,50
30/7/2007;0,00;25,00;30,00;9,00;21,50;0,00;110,00;0,00;14,00
2/8/2007;0,00;0,00;6,00;15,00;40,00;0,00;145,00;0,00;5,00
6/8/2007;0,00;5,00;5,00;3,00;20,00;0,00;98,50;0,00;11,00
9/8/2007;0,00;0,00;9,50;5,00;25,00;0,00;96,50;0,00;26,00
13/8/2007;0,00;0,00;5,00;13,00;37,50;0,00;113,00;0,00;7,00
16/8/2007;0,00;0,00;0,00;5,00;10,00;0,00;63,50;0,00;3,00
