'espèce';'semaine';'quantitélb';'pcaliment';'grpoisson'
'CAR';23;0,00;0,02;309,00
'CAR';24;0,00;0,02;337,00
'CAR';25;0,00;0,02;355,00
'CAR';26;0,00;0,01;393,00
'CAR';27;0,00;0,01;422,00
'CAR';28;0,00;0,01;454,00
'CAR';29;0,00;0,01;480,00
'CAR';30;0,00;0,01;509,00
'CAR';31;0,00;0,01;538,00
'CAR';32;0,00;0,01;567,00
'CAR';33;0,00;0,01;596,00
'CAR';34;0,00;0,01;629,00
'CAR';35;0,00;0,01;654,00
'CAR';36;0,00;0,01;683,00
'CAR';37;0,00;0,01;751,00
'CAR';38;0,00;0,01;860,00
'CAR';39;0,00;0,01;993,00
'CAR';40;0,00;0,01;1150,00
'CAR';41;0,00;0,01;1315,00
'CAR';42;0,00;0,01;1510,00
'CAR';43;0,00;0,01;1813,00
'CAR';44;0,00;0,01;2085,00
'CAR';45;0,00;0,01;2500,00
'CAR';46;0,00;0,01;3000,00
'CAR';47;0,00;0,01;3600,00
'COL';0;0,00;0,07;4,00
'COL';1;0,00;0,06;10,00
'COL';2;0,00;0,06;22,00
'COL';3;0,00;0,05;40,00
'COL';4;0,00;0,04;62,00
'COL';5;0,00;0,04;80,00
'COL';6;0,00;0,04;100,00
'SUP';0;0,00;0,02;200,00
'SUP';1;0,00;0,02;220,00
'SUP';2;0,00;0,02;240,00
'SUP';3;0,00;0,02;260,00
'SUP';4;0,00;0,02;280,00
'SUP';5;0,00;0,02;300,00
'SUP';6;0,00;0,02;320,00
'SUP';7;0,00;0,02;340,00
'SUP';8;0,00;0,02;360,00
'SUP';9;0,00;0,02;380,00
'SUP';10;0,00;0,02;400,00
'COL';7;0,00;0,03;122,00
'COL';8;0,00;0,03;146,00
'COL';9;0,00;0,03;180,00
'COL';10;0,00;0,02;216,00
'COL';11;0,00;0,02;300,00
'COL';12;0,00;0,02;392,00
'COL';13;0,00;0,02;482,00
'COL';14;0,00;0,02;560,00
'COL';15;0,00;0,01;660,00
'COL';16;0,00;0,01;760,00
'T1';16;0,00;0,02;136,00
'T2';23;0,00;0,01;354,84
'T2';24;0,00;0,01;381,23
'T2';25;0,00;0,01;409,01
'T2';26;0,00;0,01;435,18
'T2';27;0,00;0,01;463,03
'T2';28;0,00;0,01;492,66
'T2';29;0,00;0,01;524,18
'T2';30;0,00;0,01;557,72
'T2';31;0,00;0,01;593,41
'T2';32;0,00;0,01;631,38
'T2';33;0,00;0,01;671,78
'COL';17;0,00;0,01;860,00
'T2';1;0,00;0,07;12,00
'T2';2;0,00;0,06;17,00
'T2';3;0,00;0,05;21,00
'T2';4;0,00;0,05;28,00
'T2';5;0,00;0,04;35,00
'SPR';0;0,00;0,15;0,50
'SPR';1;0,00;0,11;2,20
'SPR';2;0,00;0,10;5,00
'SPR';3;0,00;0,09;8,00
'SPR';4;0,00;0,08;15,00
'SPR';5;0,00;0,07;24,00
'SPR';6;0,00;0,07;39,00
'SPR';7;0,00;0,05;61,00
'SPR';8;0,00;0,05;86,00
'SPR';9;0,00;0,05;117,00
'SPR';10;0,00;0,04;144,00
'SPR';11;0,00;0,04;175,00
'SPR';12;0,00;0,04;210,00
'SPR';13;0,00;0,04;245,00
'SPR';14;0,00;0,03;287,00
'SPR';15;0,00;0,03;332,00
'SPR';16;0,00;0,03;380,00
'SPR';17;0,00;0,03;429,00
'SPR';18;0,00;0,03;482,00
'SPR';19;0,00;0,03;538,00
'SPR';20;0,00;0,03;597,00
'SPR';21;0,00;0,03;660,00
'SPR';22;0,00;0,03;723,00
'SPR';23;0,00;0,03;786,00
'SPR';24;0,00;0,03;849,00
'SPR';25;0,00;0,03;898,00
'SPR';26;0,00;0,03;943,00
'SPR';27;0,00;0,03;988,00
